subject,volume,modality,data,vessel,stimDur
sub-06,15,bold,4.2222447433379955,arteries,12
sub-06,16,bold,8.89398378708001,veins,12
sub-06,16,bold,4.763197284611328,arteries,12
sub-06,17,bold,9.553134030820734,veins,12
sub-06,17,bold,5.226948018521805,arteries,12
sub-06,18,bold,10.061190669404706,veins,12
sub-06,18,bold,5.586889673187494,arteries,12
sub-06,19,bold,10.361737481815855,veins,12
sub-06,19,bold,5.805656149796369,arteries,12
sub-06,20,bold,10.322380026186766,veins,12
sub-06,20,bold,5.833412099495159,arteries,12
sub-06,21,bold,9.826396522246455,veins,12
sub-06,21,bold,5.750811005628734,arteries,12
sub-06,22,bold,8.897213267842291,veins,12
sub-06,22,bold,5.474190236434255,arteries,12
sub-06,23,bold,7.539872998129356,veins,12
sub-06,23,bold,4.986819422306527,arteries,12
sub-06,24,bold,5.827389826146344,veins,12
sub-06,24,bold,4.309334363745375,arteries,12
sub-06,25,bold,3.901296997912634,veins,12
sub-06,25,bold,3.309967862720808,arteries,12
sub-06,26,bold,1.9496124079154364,veins,12
sub-06,26,bold,2.192657036279402,arteries,12
sub-06,27,bold,0.12491262140014892,veins,12
sub-06,27,bold,1.0501670506122016,arteries,12
sub-06,28,bold,-1.3734423938546088,veins,12
sub-06,28,bold,0.006434144958971103,arteries,12
sub-06,29,bold,-2.466271431114121,veins,12
sub-06,29,bold,-0.7356136233004823,arteries,12
sub-06,30,bold,-3.253817890630034,veins,12
sub-06,30,bold,-1.2524493484726926,arteries,12
sub-06,31,bold,-3.7809981405668016,veins,12
sub-06,31,bold,-1.5567628611740947,arteries,12
sub-06,32,bold,-4.194118140618829,veins,12
sub-06,32,bold,-1.7075847602190442,arteries,12
sub-06,33,bold,-4.5831280494142375,veins,12
sub-06,33,bold,-1.812663663137623,arteries,12
sub-06,34,bold,-4.887256911314271,veins,12
sub-06,34,bold,-1.8724988378285858,arteries,12
sub-06,35,bold,-5.130512463366482,veins,12
sub-06,35,bold,-1.927647737086752,arteries,12
sub-06,36,bold,-5.244989578909384,veins,12
sub-06,36,bold,-1.9986880123849062,arteries,12
sub-06,37,bold,-5.222111302105925,veins,12
sub-06,37,bold,-2.0841995005025598,arteries,12
sub-06,38,bold,-5.136772898455138,veins,12
sub-06,38,bold,-2.190014323438141,arteries,12
