subject,session,volume,modality,data,stimDur,jitter,interpolation
sub-05,ses-01,22,vaso,-1.5058224091482275,4.0,0.0,linear
sub-05,ses-01,23,vaso,-1.5762697570508077,4.0,0.0,linear
sub-05,ses-01,24,vaso,-1.4705987351969263,4.0,0.0,linear
sub-05,ses-01,0,vaso,-0.41388851665802306,4.0,785,linear
sub-05,ses-01,1,vaso,-0.19374055446244043,4.0,785,linear
sub-05,ses-01,2,vaso,-0.11448728807201825,4.0,785,linear
sub-05,ses-01,3,vaso,0.07043700017229648,4.0,785,linear
sub-05,ses-01,4,vaso,0.08804883714794709,4.0,785,linear
sub-05,ses-01,5,vaso,0.2553612884166001,4.0,785,linear
sub-05,ses-01,6,vaso,0.554762517002616,4.0,785,linear
sub-05,ses-01,7,vaso,0.6075980279295679,4.0,785,linear
sub-05,ses-01,8,vaso,0.6956572128078098,4.0,785,linear
sub-05,ses-01,9,vaso,0.8189400716373418,4.0,785,linear
sub-05,ses-01,10,vaso,1.0038643598816455,4.0,785,linear
sub-05,ses-01,11,vaso,1.109535381735527,4.0,785,linear
sub-05,ses-01,12,vaso,1.1271472187111775,4.0,785,linear
sub-05,ses-01,13,vaso,0.9334170119790541,4.0,785,linear
sub-05,ses-01,14,vaso,0.19371985900182853,4.0,785,linear
sub-05,ses-01,15,vaso,-0.7132897452440501,4.0,785,linear
sub-05,ses-01,16,vaso,-1.3913454688065041,4.0,785,linear
sub-05,ses-01,17,vaso,-2.034177518417657,4.0,785,linear
sub-05,ses-01,18,vaso,-2.131042621783741,4.0,785,linear
sub-05,ses-01,19,vaso,-1.7611940452951114,4.0,785,linear
sub-05,ses-01,20,vaso,-1.2768685284647807,4.0,785,linear
sub-05,ses-01,21,vaso,-0.7749311746588328,4.0,785,linear
sub-05,ses-01,22,vaso,-0.6340364788536279,4.0,785,linear
sub-05,ses-01,23,vaso,-0.545977293975386,4.0,785,linear
sub-05,ses-01,24,vaso,-0.8101548486101118,4.0,785,linear
sub-05,ses-01,0,vaso,-1.902088741100294,4.0,.57,linear
sub-05,ses-01,1,vaso,-1.6819407789046892,4.0,.57,linear
sub-05,ses-01,2,vaso,-1.1447797511474178,4.0,.57,linear
sub-05,ses-01,3,vaso,-0.3170234132919614,4.0,.57,linear
sub-05,ses-01,4,vaso,0.47550925061219385,4.0,.57,linear
sub-05,ses-01,5,vaso,1.0831176262720565,4.0,.57,linear
sub-05,ses-01,6,vaso,1.6907260019319192,4.0,.57,linear
sub-05,ses-01,7,vaso,1.9020680456396932,4.0,.57,linear
sub-05,ses-01,8,vaso,1.9196798826153438,4.0,.57,linear
sub-05,ses-01,9,vaso,1.7083378389075699,4.0,.57,linear
sub-05,ses-01,10,vaso,1.23281824056507,4.0,.57,linear
sub-05,ses-01,11,vaso,0.7925223161738715,4.0,.57,linear
sub-05,ses-01,12,vaso,0.2729731253922507,4.0,.57,linear
sub-05,ses-01,13,vaso,0.13207842958706806,4.0,.57,linear
sub-05,ses-01,14,vaso,0.37864414724613216,4.0,.57,linear
sub-05,ses-01,15,vaso,0.7396868052469308,4.0,.57,linear
sub-05,ses-01,16,vaso,0.7661045607104011,4.0,.57,linear
sub-05,ses-01,17,vaso,0.387450065733963,4.0,.57,linear
sub-05,ses-01,18,vaso,-0.29941157631632187,4.0,.57,linear
sub-05,ses-01,19,vaso,-1.056720566269198,4.0,.57,linear
sub-05,ses-01,20,vaso,-1.734776289831652,4.0,.57,linear
sub-05,ses-01,21,vaso,-1.6467171049534102,4.0,.57,linear
sub-05,ses-01,22,vaso,-1.1976152620743807,4.0,.57,linear
sub-05,ses-01,23,vaso,-0.5371713754875662,4.0,.57,linear
sub-05,ses-01,24,vaso,0.03521332622100637,4.0,.57,linear
sub-05,ses-01,0,vaso,-2.6417858940775085,4.0,355,linear
sub-05,ses-01,1,vaso,-2.2631313991010815,4.0,355,linear
sub-05,ses-01,2,vaso,-1.5322401646116868,4.0,355,linear
sub-05,ses-01,3,vaso,-0.7749311746588328,4.0,355,linear
sub-05,ses-01,4,vaso,0.026407407733175514,4.0,355,linear
sub-05,ses-01,5,vaso,0.22013761446531,4.0,355,linear
sub-05,ses-01,6,vaso,0.387450065733963,4.0,355,linear
sub-05,ses-01,7,vaso,0.37864414724613216,4.0,355,linear
sub-05,ses-01,8,vaso,0.45789741363654324,4.0,355,linear
sub-05,ses-01,9,vaso,0.7837163976860517,4.0,355,linear
sub-05,ses-01,10,vaso,1.1535649741746479,4.0,355,linear
sub-05,ses-01,11,vaso,1.4177425288093848,4.0,355,linear
sub-05,ses-01,12,vaso,1.4617721212485058,4.0,355,linear
sub-05,ses-01,13,vaso,1.0919235447598874,4.0,355,linear
sub-05,ses-01,14,vaso,0.5371506800269654,4.0,355,linear
sub-05,ses-01,15,vaso,0.04401924470882612,4.0,355,linear
sub-05,ses-01,16,vaso,-0.4667240275849638,4.0,355,linear
sub-05,ses-01,17,vaso,-0.8365726040735932,4.0,355,linear
sub-05,ses-01,18,vaso,-0.845378522561413,4.0,355,linear
sub-05,ses-01,19,vaso,-0.7837370931466525,4.0,355,linear
sub-05,ses-01,20,vaso,-0.6252305603658082,4.0,355,linear
sub-05,ses-01,21,vaso,-0.6692601528049291,4.0,355,linear
sub-05,ses-01,22,vaso,-0.8629903595370747,4.0,355,linear
sub-05,ses-01,23,vaso,-0.845378522561413,4.0,355,linear
sub-05,ses-01,24,vaso,-0.8541844410492327,4.0,355,linear
sub-05,ses-01,0,bold,-0.26539788182495805,4.0,0.0,linear
sub-05,ses-01,1,bold,-0.10886546178044965,4.0,0.0,linear
sub-05,ses-01,2,bold,0.1420554212871572,4.0,0.0,linear
sub-05,ses-01,3,bold,0.536317790125862,4.0,0.0,linear
sub-05,ses-01,4,bold,0.983343896058253,4.0,0.0,linear
sub-05,ses-01,5,bold,1.4347669800817586,4.0,0.0,linear
sub-05,ses-01,6,bold,1.834598854502567,4.0,0.0,linear
sub-05,ses-01,7,bold,2.129489518481553,4.0,0.0,linear
